ResponseId,StartDate_x,EndDate_x,Status_x,IPAddress_x,RecordedDate_x,ResponseId,DistributionChannel_x,UserLanguage_x,Q26_x,StartDate_y,EndDate_y,IPAddress_y,RecordedDate_y,DistributionChannel_y,UserLanguage_y,Q26_y,STAI State_1_y,STAI State_2_y,STAI State_3_y,STAI State_4_y,STAI State_5_y,STAI State_6_y,STAI State_7_y,STAI State_8_y,STAI State_9_y,STAI State_10_y,STAI State_11_y,STAI State_12_y,STAI State_13_y,STAI State_14_y,STAI State_15_y,STAI State_16_y,STAI State_17_y,STAI State_18_y,STAI State_19_y,STAI State_20_y,STAI-S Total,PANAS_1_y,PANAS_2_y,PANAS_3_y,PANAS_4_y,PANAS_5_y,PANAS_6_y,PANAS_7_y,PANAS_8_y,PANAS_9_y,PANAS_10_y,PANAS_11_y,PANAS_12_y,PANAS_13_y,PANAS_14_y,PANAS_15_y,PANAS_16_y,PANAS_17_y,PANAS_18_y,PANAS_19_y,PANAS_20_y,PANAS Positive Total,PANAS Negative Total
R_5Y1zn6NFPweXHYl,2024-08-01 08:23:16,2024-08-01 08:32:22,IP Address,134.74.251.205,2024-08-01 08:32:23,R_5Y1zn6NFPweXHYl,qr,EN,S02pdb1,2024-08-01 08:23:16,2024-08-01 08:32:22,134.74.251.205,2024-08-01 08:32:23,qr,EN,S02pdb1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,36.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,1.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,43.0,28.0
R_6m2buo7O4Qd0T57,2024-08-06 08:09:29,2024-08-06 08:12:02,IP Address,172.56.165.179,2024-08-06 08:12:03,R_6m2buo7O4Qd0T57,qr,EN,s03pdb1,2024-08-06 08:09:29,2024-08-06 08:12:02,172.56.165.179,2024-08-06 08:12:03,qr,EN,s03pdb1,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,53.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,31.0,26.0
R_1SeMnbC7N0M56X4,2024-08-06 13:40:34,2024-08-06 13:46:55,IP Address,174.204.140.77,2024-08-06 13:46:56,R_1SeMnbC7N0M56X4,qr,EN,s04pdb1,2024-08-06 13:40:34,2024-08-06 13:46:55,174.204.140.77,2024-08-06 13:46:56,qr,EN,s04pdb1,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,37.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,1.0,3.0,1.0,4.0,4.0,2.0,3.0,1.0,41.0,27.0
R_5d4c4EEPwTmUEnv,2024-08-12 09:54:00,2024-08-12 09:56:04,IP Address,174.229.78.243,2024-08-12 09:56:05,R_5d4c4EEPwTmUEnv,qr,EN,S05pdb1,2024-08-12 09:54:00,2024-08-12 09:56:04,174.229.78.243,2024-08-12 09:56:05,qr,EN,S05pdb1,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,54.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,32.0,23.0
R_5a1NUWEzSO0YBFL,2024-08-15 08:25:46,2024-08-15 08:28:44,IP Address,172.56.165.61,2024-08-15 08:28:45,R_5a1NUWEzSO0YBFL,qr,EN,S07pdb1,2024-08-15 08:25:46,2024-08-15 08:28:44,172.56.165.61,2024-08-15 08:28:45,qr,EN,S07pdb1,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,49.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,1.0,33.0,24.0
R_62eMI8AZNM43KF3,2024-08-15 10:03:29,2024-08-15 10:05:57,IP Address,174.216.247.25,2024-08-15 10:05:58,R_62eMI8AZNM43KF3,qr,EN,S06pdb1,2024-08-15 10:03:29,2024-08-15 10:05:57,174.216.247.25,2024-08-15 10:05:58,qr,EN,S06pdb1,3.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,47.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,32.0,21.0
R_523JMsq1nYnyLQT,2024-08-13 12:36:31,2024-08-13 13:25:23,IP Address,134.74.251.207,2024-08-20 13:25:28,R_523JMsq1nYnyLQT,qr,EN,av,2024-08-13 12:36:31,2024-08-13 13:25:23,134.74.251.207,2024-08-20 13:25:28,qr,EN,av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5EcemK0Xzc6e2gY,2024-08-22 13:05:11,2024-08-22 13:07:36,IP Address,172.59.208.75,2024-08-22 13:07:37,R_5EcemK0Xzc6e2gY,qr,EN,S08pdb1,2024-08-22 13:05:11,2024-08-22 13:07:36,172.59.208.75,2024-08-22 13:07:37,qr,EN,S08pdb1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,4.0,1.0,2.0,35.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0,38.0,23.0
R_65MWTU5pKjNtdfS,2024-08-23 09:51:52,2024-08-23 09:55:46,IP Address,134.74.251.209,2024-08-23 09:55:47,R_65MWTU5pKjNtdfS,qr,EN,s01pdb1,2024-08-23 09:51:52,2024-08-23 09:55:46,134.74.251.209,2024-08-23 09:55:47,qr,EN,s01pdb1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,2.0,1.0,37.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,24.0,18.0
R_7lyvyG1VrdCBAJ2,2024-09-04 11:01:55,2024-09-04 11:04:21,IP Address,172.56.163.7,2024-09-04 11:04:22,R_7lyvyG1VrdCBAJ2,qr,EN,So9bdb1,2024-09-04 11:01:55,2024-09-04 11:04:21,172.56.163.7,2024-09-04 11:04:22,qr,EN,So9bdb1,3.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,1.0,3.0,55.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,31.0,27.0
R_68BXIBfjLCabe9q,2024-09-06 13:42:04,2024-09-06 13:44:19,IP Address,134.74.251.203,2024-09-06 13:44:20,R_68BXIBfjLCabe9q,qr,EN,S10pdb1,2024-09-06 13:42:04,2024-09-06 13:44:19,134.74.251.203,2024-09-06 13:44:20,qr,EN,S10pdb1,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,50.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,22.0,15.0
R_6VnjlYT5uRfnkI1,2024-09-11 13:32:23,2024-09-11 13:36:37,IP Address,134.74.251.203,2024-09-11 13:36:37,R_6VnjlYT5uRfnkI1,qr,EN,s11pdb1,2024-09-11 13:32:23,2024-09-11 13:36:37,134.74.251.203,2024-09-11 13:36:37,qr,EN,s11pdb1,2.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,53.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,21.0,18.0
R_5xXh3la4AKibmtE,2024-09-19 09:02:34,2024-09-19 09:05:05,IP Address,134.74.251.206,2024-09-19 09:05:06,R_5xXh3la4AKibmtE,qr,EN,S12pdb1,2024-09-19 09:02:34,2024-09-19 09:05:05,134.74.251.206,2024-09-19 09:05:06,qr,EN,S12pdb1,2.0,4.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,58.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,32.0,23.0
R_1lzxNxO1Zph9mjA,2024-09-23 14:58:42,2024-09-23 15:01:49,IP Address,172.56.166.202,2024-09-23 15:01:50,R_1lzxNxO1Zph9mjA,qr,EN,s17pdb1,2024-09-23 14:58:42,2024-09-23 15:01:49,172.56.166.202,2024-09-23 15:01:50,qr,EN,s17pdb1,2.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,51.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,25.0,20.0
R_58aNw5yYqPqCv29,2024-09-24 09:59:26,2024-09-24 10:03:33,IP Address,134.74.251.206,2024-09-24 10:03:33,R_58aNw5yYqPqCv29,qr,EN,s14pdb1,2024-09-24 09:59:26,2024-09-24 10:03:33,134.74.251.206,2024-09-24 10:03:33,qr,EN,s14pdb1,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,50.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,32.0,24.0
R_3dJQZ1H2CkOJBuM,2024-10-17 10:26:58,2024-10-17 10:29:29,IP Address,134.74.251.209,2024-10-17 10:29:30,R_3dJQZ1H2CkOJBuM,qr,EN,s18pdb1,2024-10-17 10:26:58,2024-10-17 10:29:29,134.74.251.209,2024-10-17 10:29:30,qr,EN,s18pdb1,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,49.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,32.0,23.0
R_1LOOcg1A9iOUCE7,2024-10-21 08:45:12,2024-10-21 08:50:47,IP Address,134.74.251.201,2024-10-21 08:50:48,R_1LOOcg1A9iOUCE7,qr,EN,S19pdb1,2024-10-21 08:45:12,2024-10-21 08:50:47,134.74.251.201,2024-10-21 08:50:48,qr,EN,S19pdb1,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,47.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,26.0,20.0
R_6dQyP3AaZGjK54B,2024-10-28 10:32:51,2024-10-28 10:35:43,IP Address,134.74.251.206,2024-10-28 10:35:44,R_6dQyP3AaZGjK54B,qr,EN,s20pdb1,2024-10-28 10:32:51,2024-10-28 10:35:43,134.74.251.206,2024-10-28 10:35:44,qr,EN,s20pdb1,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,42.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,28.0,21.0
R_7uUm9rl6gqkSCZX,2024-11-04 10:43:51,2024-11-04 10:45:53,IP Address,143.198.4.48,2024-11-04 10:45:53,R_7uUm9rl6gqkSCZX,qr,EN,s21pdb1,2024-11-04 10:43:51,2024-11-04 10:45:53,143.198.4.48,2024-11-04 10:45:53,qr,EN,s21pdb1,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,43.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0,2.0,5.0,2.0,49.0,42.0
R_56wIzKt1Cs9M3Rv,2024-11-17 08:17:27,2024-11-17 09:01:12,IP Address,134.74.251.208,2024-11-17 09:01:12,R_56wIzKt1Cs9M3Rv,qr,EN,s22pdb1,2024-11-17 08:17:27,2024-11-17 09:01:12,134.74.251.208,2024-11-17 09:01:12,qr,EN,s22pdb1,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,49.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,36.0,26.0
R_3FOGA4lLfrLfnR0,2024-11-20 13:40:27,2024-11-20 13:45:30,IP Address,134.74.251.209,2024-11-20 13:45:31,R_3FOGA4lLfrLfnR0,qr,EN,s23pdb1,2024-11-20 13:40:27,2024-11-20 13:45:30,134.74.251.209,2024-11-20 13:45:31,qr,EN,s23pdb1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,2.0,40.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,35.0,22.0
R_5N2KsupT2DTb9Y1,2024-12-02 13:52:03,2024-12-02 13:54:31,IP Address,172.56.164.122,2024-12-02 13:54:32,R_5N2KsupT2DTb9Y1,qr,EN,S24pdb1,2024-12-02 13:52:03,2024-12-02 13:54:31,172.56.164.122,2024-12-02 13:54:32,qr,EN,S24pdb1,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,50.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,3.0,1.0,34.0,23.0
R_1Nt7DxXiGg34DEh,2024-12-16 10:11:15,2024-12-16 10:27:25,IP Address,134.74.251.207,2024-12-16 10:27:26,R_1Nt7DxXiGg34DEh,qr,EN,s26pdb1,2024-12-16 10:11:15,2024-12-16 10:27:25,134.74.251.207,2024-12-16 10:27:26,qr,EN,s26pdb1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,42.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,4.0,1.0,3.0,1.0,35.0,24.0
R_1SEIpRERXcSSXpD,2025-01-31 09:30:53,2025-01-31 09:36:06,IP Address,134.74.251.206,2025-01-31 09:36:07,R_1SEIpRERXcSSXpD,qr,EN,s27pdb1,2025-01-31 09:30:53,2025-01-31 09:36:06,134.74.251.206,2025-01-31 09:36:07,qr,EN,s27pdb1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,36.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,5.0,4.0,1.0,3.0,1.0,43.0,27.0
R_6cBHOtuyiX7t8W5,2025-02-05 12:49:42,2025-02-05 12:56:42,IP Address,134.74.251.204,2025-02-05 12:56:42,R_6cBHOtuyiX7t8W5,qr,EN,S29pdb1,2025-02-05 12:49:42,2025-02-05 12:56:42,134.74.251.204,2025-02-05 12:56:42,qr,EN,S29pdb1,3.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,58.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,26.0,26.0
R_3UaAzpCIkh2fYC3,2025-02-05 14:11:23,2025-02-05 14:13:48,IP Address,134.74.251.209,2025-02-05 14:13:49,R_3UaAzpCIkh2fYC3,qr,EN,s28pdb1,2025-02-05 14:11:23,2025-02-05 14:13:48,134.74.251.209,2025-02-05 14:13:49,qr,EN,s28pdb1,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,49.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,33.0,23.0
R_1D8ijRM9G5esFM7,2025-02-27 10:52:29,2025-02-27 10:54:12,IP Address,134.74.251.208,2025-02-27 10:54:13,R_1D8ijRM9G5esFM7,qr,EN,S30PDB1,2025-02-27 10:52:29,2025-02-27 10:54:12,134.74.251.208,2025-02-27 10:54:13,qr,EN,S30PDB1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,35.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,35.0,22.0
R_1YA3Ty2DYjjsuMr,2025-02-27 10:52:32,2025-02-27 10:54:52,IP Address,134.74.251.201,2025-02-27 10:54:53,R_1YA3Ty2DYjjsuMr,qr,EN,s31pdb1,2025-02-27 10:52:32,2025-02-27 10:54:52,134.74.251.201,2025-02-27 10:54:53,qr,EN,s31pdb1,2.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,44.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,50.0,48.0
R_5YbqQ4ME0xVBuo1,2025-03-05 06:48:23,2025-03-05 06:51:43,IP Address,134.74.251.222,2025-03-05 06:51:43,R_5YbqQ4ME0xVBuo1,qr,EN,s34pdb1,2025-03-05 06:48:23,2025-03-05 06:51:43,134.74.251.222,2025-03-05 06:51:43,qr,EN,s34pdb1,3.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,60.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,1.0,4.0,29.0,34.0
R_7ptyB8Wav6ZmNFY,2025-03-05 10:56:00,2025-03-05 10:59:25,IP Address,134.74.251.208,2025-03-05 10:59:26,R_7ptyB8Wav6ZmNFY,qr,EN,S33pdb1,2025-03-05 10:56:00,2025-03-05 10:59:25,134.74.251.208,2025-03-05 10:59:26,qr,EN,S33pdb1,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,36.0,4.0,2.0,5.0,1.0,4.0,3.0,2.0,1.0,5.0,4.0,1.0,4.0,1.0,5.0,1.0,5.0,5.0,1.0,4.0,2.0,49.0,34.0
R_3DLMVaNcqLVFrUO,2025-03-06 10:20:31,2025-03-06 10:22:16,IP Address,134.74.251.206,2025-03-06 10:22:16,R_3DLMVaNcqLVFrUO,qr,EN,s31pdb1,2025-03-06 10:20:31,2025-03-06 10:22:16,134.74.251.206,2025-03-06 10:22:16,qr,EN,s31pdb1,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,52.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,48.0,46.0
R_7G2LfsC1TwgnbqU,2025-03-07 07:31:34,2025-03-07 07:35:30,IP Address,134.74.251.205,2025-03-07 07:35:31,R_7G2LfsC1TwgnbqU,qr,EN,S32pdb1,2025-03-07 07:31:34,2025-03-07 07:35:30,134.74.251.205,2025-03-07 07:35:31,qr,EN,S32pdb1,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,51.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,30.0,20.0
